FilmID,Title,ReleaseDate,DirectorID,StudioID,CountryID,LanguageID,GenreID,RunTimeMinutes,CertificateID,BudgetDollars,BoxOfficeDollars,OscarNominations,OscarWins
1396,Unbroken,17-11-2014,431,43,241,1,19,137,5,65000000,163400000,3,0
1397,Inside Llewyn Davis,19-05-2013,5,195,241,1,2,105,5,11000000,32900000,2,0
1398,Burn After Reading,27-08-2008,5,195,241,1,7,96,5,,,0,0
1399,No Country for Old Men,19-05-2007,5,16,241,1,14,122,5,25000000,171600000,8,4
1400,The Ladykillers,26-03-2004,5,7,241,1,7,104,5,35000000,76700000,0,0
1401,The Ladykillers,08-12-1955,432,237,240,1,7,97,1,,,1,0
1402,The Big Lebowski,06-03-1998,5,104,241,1,7,117,6,15000000,46200000,0,0
1403,Miller's Crossing,21-09-1990,5,4,241,1,14,115,6,14000000,5080000,0,0
1404,Outland,22-05-1981,420,94,240,1,3,109,5,16000000,20000000,1,0
1405,Outlander,11-07-2008,433,90,241,1,3,115,5,47000000,7033000,0,0
1406,Timecop,16-09-1994,420,142,241,1,3,98,6,27000000,101646581,0,0
1407,Kung Fu Panda 3,23-01-2016,154,8,241,1,11,95,2,145000000,519900000,0,0
1408,Universal Soldier,10-07-1992,42,15,241,1,3,102,6,23000000,36300000,0,0
1409,Double Impact,09-08-1991,435,5,241,1,4,107,6,18000000,80500000,0,0
1410,Death Warrant,14-09-1990,436,172,241,1,4,89,6,6000000,46700000,0,0
1411,Kickboxer,08-09-1989,437,238,241,1,17,103,6,2700000,14700000,0,0
1412,Cyborg,07-04-1989,438,239,241,1,3,82,6,500000,10200000,0,0
1413,Bloodsport,26-02-1988,439,239,241,1,17,92,6,2300000,65000000,0,0
1414,Brooklyn's Finest,16-01-2009,440,80,241,1,14,132,6,17000000,36400000,0,0
1415,Full Metal Jacket,17-06-1987,292,240,240,1,5,116,5,30000000,46400000,1,0
1416,Eyes Wide Shut,16-07-1999,292,240,240,1,2,159,6,65000000,162100000,0,0
1417,The Shining,23-05-1980,292,168,240,1,10,146,6,19000000,44400000,0,0
1418,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,29-01-1964,292,168,240,1,7,94,2,1800000,9400000,4,0
1419,Paths of Glory,25-12-1957,292,173,241,1,5,88,2,900000,,0,0
1420,The Treasure of the Sierra Madre,06-01-1948,252,6,241,1,1,126,2,3000000,4307000,4,3
1421,Key Largo,16-07-1948,252,6,241,1,14,101,2,,3250000,1,1
